Stock
AAPL
MSFT
GOOG
AMZN
FB
JPM
V
JNJ
WMT
BAC
MA
PG
XOM
T
UNH
DIS
INTC
HD
VZ
KO
MRK
WFC
CVX
PFE
CMCSA
CSCO
PEP
BA
ORCL
C
ADBE
CRM
MDT
NKE
MCD
BMY
ABT
NVDA
NFLX
AMGN
ACN
PM
PYPL
LLY
TMO
ABBV
COST
HON
UNP
