Stock
LEG
PSA
XOM
NNN
CCI
VZ
O
DUK
TU
DUK
GIS
WELL
BIP
VTR
NHI
SO
PM
PPL
OKE
MO
SKT
WPC
MAIN
ENB
T
MMP
EPD
BEP
IRM
