           Stock       Date   RSI    Close  LastPrice  PerGain RSIDiv  DivDays
0   TORNTPHARM.NS 2020-10-29  31.3  2519.55    2566.85     1.88     HD     93.0
1     TVSMOTOR.NS 2020-10-29  32.5   422.35     455.50     7.85     HD     90.0
2     MINDTREE.NS 2020-10-29  45.3  1318.65    1327.60     0.68     HD     58.0
3   CENTURYTEX.NS 2020-10-28  34.3   305.05     305.70     0.21     HD     93.0
4      HCLTECH.NS 2020-10-28  49.2   829.60     841.95     1.49     HD     57.0
5   PERSISTENT.NS 2020-10-28  42.3  1160.70    1158.65    -0.18     HD     58.0
6     NLCINDIA.NS 2020-10-28  34.9    48.05      48.80     1.56     HD    106.0
7        SUNTV.NS 2020-10-26  33.0   418.05     422.00     0.94     HD     94.0
8        ALKEM.NS 2020-10-26  28.9  2596.00    2634.30     1.48     HD    150.0
9     DIVISLAB.NS 2020-10-26  43.4  3042.15    3142.05     3.28     HD     32.0
10      NAUKRI.NS 2020-10-22  44.2  3397.95    3548.95     4.44     HD    149.0
11   ENDURANCE.NS 2020-10-22  35.9  1008.65    1058.20     4.91     HD     92.0
12  ADANIPOWER.NS 2020-10-22  29.5    35.00      35.75     2.14     HD     98.0
13  BALAJITELE.NS 2020-10-21  27.8    62.30      62.60     0.48     HD    211.0
14   GODREJIND.NS 2020-10-20  31.4   373.15     366.10    -1.89     HD     92.0
15      FORTIS.NS 2020-10-20  34.2   125.45     125.60     0.12     HD    146.0
16        CESC.NS 2020-10-19  32.3   568.85     563.00    -1.03     HD     77.0
17        IDEA.NS 2020-10-19  34.1     7.95       8.75    10.06     HD     95.0
18     ESCORTS.NS 2020-10-16  42.1  1167.60    1200.95     2.86     HD     46.0
19        BPCL.NS 2020-10-15  23.3   326.65     354.45     8.51     HD    149.0

========== List for  ['HD'] Sell ==========
            Stock       Date   RSI  ...  PerGain  RSIDiv  DivDays
0           LT.NS 2020-10-28  69.9  ...    -5.43      HD     70.0
1   BHARTIARTL.NS 2020-10-28  57.1  ...    -4.01      HD     56.0
2     SHREECEM.NS 2020-10-27  61.9  ...    -0.18      HD     67.0
3    NESTLEIND.NS 2020-10-27  68.1  ...    -0.40      HD    103.0
4          IGL.NS 2020-10-27  62.5  ...    -1.70      HD     39.0
5         IDBI.NS 2020-10-23  64.7  ...    -8.30      HD     63.0
6       M&MFIN.NS 2020-10-23  56.8  ...    -9.21      HD     56.0
7   CHENNPETRO.NS 2020-10-22  70.7  ...    -5.29      HD     93.0
8   RAJESHEXPO.NS 2020-09-18  74.5  ...    -9.36      HD    141.0
9     INFRATEL.NS 2020-09-07  70.4  ...   -19.68      HD     94.0
10    AXISBANK.NS 2020-08-28  73.7  ...    -3.28      HD    198.0
11  BANKBARODA.NS 2020-08-28  66.1  ...   -19.19      HD     50.0
12  IBVENTURES.NS 2020-08-28  88.3  ...    -8.45      HD    175.0
13   ICICIBANK.NS 2020-08-28  73.6  ...    -4.17      HD    198.0
14       GICRE.NS 2020-08-27  62.9  ...   -25.03      HD     38.0
15      VGUARD.NS 2020-08-27  66.2  ...    -3.85      HD     85.0
16   BATAINDIA.NS 2020-08-27  65.4  ...    -2.90      HD     86.0
17   COALINDIA.NS 2020-08-26  70.7  ...   -19.55      HD     86.0
18   WHIRLPOOL.NS 2020-08-26  67.1  ...    -6.04      HD     34.0
19       DMART.NS 2020-08-26  72.0  ...    -7.06      HD     82.0
